Date,Station,TMAX,TMIN,TAVG,Rainfall,Humidity
12/1/2017,Dhaka,29,16.7,22.85,0,63
12/2/2017,Dhaka,28.9,16.8,22.85,0,65
12/3/2017,Dhaka,28.5,16.5,22.5,0,62
12/4/2017,Dhaka,27.2,16.6,21.9,0,67
12/5/2017,Dhaka,28.2,16.9,22.55,0,62
12/6/2017,Dhaka,28.6,16.5,22.55,0,67
12/7/2017,Dhaka,28.6,16.5,22.55,0,67
12/8/2017,Dhaka,25.6,20.4,23,0,67
12/9/2017,Dhaka,22.8,18.7,20.75,0,97
12/10/2017,Dhaka,24,19.8,21.9,0,94
12/11/2017,Dhaka,25.2,21.3,23.25,0,89
12/12/2017,Dhaka,29.4,20.6,25,0,
12/13/2017,Dhaka,28.7,19.2,23.95,0,71
12/14/2017,Dhaka,28.6,18.4,23.5,0,81
12/15/2017,Dhaka,27.2,16.2,21.7,0,54
12/16/2017,Dhaka,26.2,14.2,20.2,0,53
12/17/2017,Dhaka,25.3,15.6,20.45,0,61
12/18/2017,Dhaka,25.4,17.5,21.45,0,86
12/19/2017,Dhaka,21.4,17.2,19.3,0,75
12/20/2017,Dhaka,25.2,15.6,20.4,0,86
12/21/2017,Dhaka,26.1,15.8,20.95,0,84
12/22/2017,Dhaka,27.2,16,21.6,0,72
12/23/2017,Dhaka,26.2,16.8,21.5,0,78
12/24/2017,Dhaka,26.6,16,21.3,0,67
12/25/2017,Dhaka,27.1,17.2,22.15,0,67
12/26/2017,Dhaka,26.3,17.3,21.8,0,71
12/27/2017,Dhaka,27.1,16.4,21.75,0,68
12/28/2017,Dhaka,24.6,16.2,20.4,0,70
12/29/2017,Dhaka,27,14.8,20.9,0,80
12/30/2017,Dhaka,29.1,16.2,22.65,0,72
12/31/2017,Dhaka,28.3,15.3,21.8,0,61
1/1/2018,Dhaka,26.8,15.6,21.2,0,70
1/2/2018,Dhaka,26.5,17.4,21.95,0,67
1/3/2018,Dhaka,24.6,14.2,19.4,0,50
1/4/2018,Dhaka,21.8,10.5,16.15,0,72
1/5/2018,Dhaka,22.5,11.5,17,0,71
1/6/2018,Dhaka,23.6,13,18.3,0,47
1/7/2018,Dhaka,20.2,10,15.1,0,52
1/8/2018,Dhaka,18,9.5,13.75,0,67
1/9/2018,Dhaka,22.8,10.7,16.75,0,61
1/10/2018,Dhaka,22,12.1,17.05,0,55
1/11/2018,Dhaka,17.8,11.2,14.5,0,74
1/12/2018,Dhaka,20.6,11,15.8,0,
1/13/2018,Dhaka,20.5,11.5,16,0,75
1/14/2018,Dhaka,18.9,12.8,15.85,0,78
1/15/2018,Dhaka,22.2,10.6,16.4,0,90
